Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Davian Dessaline Clarke,M,28.0,178.0,78.0,Jamaica,2004,Athletics Men's 400 meters,
"Douglas Bruce ""Doug"" Clement",M,18.0,,,Canada,1952,Athletics Men's 400 meters,
Georges Claude Clment,M,,,,France,1900,Athletics Men's 400 meters,
Laurent Clerc,M,24.0,180.0,79.0,Switzerland,1996,Athletics Men's 400 meters,
Gerald Clervil,M,24.0,173.0,67.0,Haiti,2000,Athletics Men's 400 meters,
John Murray Cockburn,M,23.0,173.0,,Canada,1956,Athletics Men's 400 meters,
"Glendon Howard ""Glen"" Cohen",M,22.0,185.0,76.0,Great Britain,1976,Athletics Men's 400 meters,
"Glendon Howard ""Glen"" Cohen",M,26.0,185.0,76.0,Great Britain,1980,Athletics Men's 400 meters,
"Gerrard Eugene ""Gene"" Cole",M,23.0,182.0,78.0,United States,1952,Athletics Men's 400 meters,
Williams Collazo Gutirrez,M,21.0,172.0,71.0,Cuba,2008,Athletics Men's 400 meters,
Wayne Curtis Collett,M,22.0,188.0,84.0,United States,1972,Athletics Men's 400 meters,Silver
Umberto Colombo,M,,,,Italy,1900,Athletics Men's 400 meters,
"Toms ""Tom"" Coman",M,20.0,190.0,82.0,Ireland,2000,Athletics Men's 400 meters,
Vincent Confait,M,24.0,179.0,67.0,Seychelles,1984,Athletics Men's 400 meters,
Eswort Lorenzo Brian Coombs,M,23.0,187.0,74.0,Saint Vincent and the Grenadines,1996,Athletics Men's 400 meters,
Joseph Coombs,M,28.0,185.0,80.0,Trinidad and Tobago,1980,Athletics Men's 400 meters,
Arthur Cooper,M,20.0,173.0,66.0,Trinidad and Tobago,1972,Athletics Men's 400 meters,
Gaiet Cornet Pamies,M,25.0,183.0,70.0,Spain,1988,Athletics Men's 400 meters,
Gaiet Cornet Pamies,M,28.0,183.0,70.0,Spain,1992,Athletics Men's 400 meters,
