Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
"Michael John ""Mike"" Ellis",M,23.0,193.0,102.0,Great Britain,1960,Athletics Men's Hammer Throw,
Istvn Encsi,M,29.0,194.0,108.0,Hungary,1972,Athletics Men's Hammer Throw,
"Martin Stephen ""Marty"" Engel",M,20.0,187.0,86.0,United States,1952,Athletics Men's Hammer Throw,
Christophe palle,M,23.0,194.0,116.0,France,1992,Athletics Men's Hammer Throw,
Christophe palle,M,27.0,194.0,116.0,France,1996,Athletics Men's Hammer Throw,
Christophe palle,M,31.0,194.0,116.0,France,2000,Athletics Men's Hammer Throw,
Bo Evert Ericsson,M,29.0,188.0,103.0,Sweden,1948,Athletics Men's Hammer Throw,
Erik Gideon Eriksson,M,26.0,186.0,83.0,Finland,1924,Athletics Men's Hammer Throw,
Erik Gideon Eriksson,M,30.0,186.0,83.0,Finland,1928,Athletics Men's Hammer Throw,
Markus Esser,M,20.0,180.0,99.0,Germany,2000,Athletics Men's Hammer Throw,
Markus Esser,M,24.0,180.0,99.0,Germany,2004,Athletics Men's Hammer Throw,
Markus Esser,M,28.0,180.0,99.0,Germany,2008,Athletics Men's Hammer Throw,
"Johann ""Hans"" Fahsl",M,23.0,191.0,115.0,Germany,1964,Athletics Men's Hammer Throw,
"Johann ""Hans"" Fahsl",M,27.0,191.0,115.0,West Germany,1968,Athletics Men's Hammer Throw,
Pawe Fajdek,M,23.0,186.0,126.0,Poland,2012,Athletics Men's Hammer Throw,
Pawe Fajdek,M,27.0,186.0,126.0,Poland,2016,Athletics Men's Hammer Throw,
Jos Luis Falcn Echegoyen,M,22.0,182.0,82.0,Spain,1960,Athletics Men's Hammer Throw,
Peter John Farmer,M,24.0,184.0,130.0,Australia,1976,Athletics Men's Hammer Throw,
Peter John Farmer,M,28.0,184.0,130.0,Australia,1980,Athletics Men's Hammer Throw,
Donald Emerson Favor,M,23.0,178.0,76.0,United States,1936,Athletics Men's Hammer Throw,
"Samuel Morse ""Sam"" Felton, Jr.",M,22.0,187.0,89.0,United States,1948,Athletics Men's Hammer Throw,
"Samuel Morse ""Sam"" Felton, Jr.",M,26.0,187.0,89.0,United States,1952,Athletics Men's Hammer Throw,
Nicolas Figre,M,33.0,176.0,70.0,France,2012,Athletics Men's Hammer Throw,
John Joseph Flanagan,M,32.0,178.0,95.0,United States,1900,Athletics Men's Hammer Throw,Gold
John Joseph Flanagan,M,36.0,178.0,95.0,United States,1904,Athletics Men's Hammer Throw,Gold
John Joseph Flanagan,M,40.0,178.0,95.0,United States,1908,Athletics Men's Hammer Throw,Gold
