Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
"William John ""Willie"" Walters",M,24.0,186.0,73.0,South Africa,1932,,21.100705283847844
Kamau George Wanyoke,M,,,,Kenya,1956,,
Jeremy Matthew Wariner,M,20.0,188.0,71.0,United States,2004,Gold,20.088275237664103
Jeremy Matthew Wariner,M,24.0,188.0,71.0,United States,2008,Silver,20.088275237664103
Takahiro Watanabe,M,22.0,185.0,75.0,Japan,1992,,21.91380569758948
Elieser Wattebosi,M,24.0,167.0,58.0,Indonesia,1988,,20.7967298935064
Quincy Dushawn Watts,M,22.0,190.0,88.0,United States,1992,Gold,24.37673130193906
Ren Weber,M,27.0,178.0,74.0,Switzerland,1960,,23.355636914530994
"James Edward ""Jim"" Wedderburn",M,22.0,178.0,73.0,West Indies Federation,1960,,23.040020199469765
Saul Weigopwa,M,18.0,175.0,71.0,Nigeria,2004,,23.183673469387756
Saul Weigopwa,M,22.0,175.0,71.0,Nigeria,2008,,23.183673469387756
Zygmunt Eugeniusz Weiss,M,25.0,180.0,78.0,Poland,1928,,24.074074074074073
Carl Gustaf Olof Wejnarth,M,22.0,,,Sweden,1924,,
Joseph Algernon Wells,M,26.0,,,Great Britain,1912,,
Johann Heinrich Wenseler,M,21.0,,,Germany,1912,,
Jan Werner,M,22.0,191.0,86.0,Poland,1968,,23.573915188728378
Jan Werner,M,26.0,191.0,86.0,Poland,1972,,23.573915188728378
Jan Werner,M,29.0,191.0,86.0,Poland,1976,,23.573915188728378
"Michael Keith Valentine ""Mike"" Wheeler",M,21.0,187.0,76.0,Great Britain,1956,,21.733535417083704
"Malvin Groston ""Mal"" Whitfield",M,23.0,185.0,76.0,United States,1948,Bronze,22.20598977355734
"Malvin Groston ""Mal"" Whitfield",M,27.0,185.0,76.0,United States,1952,,22.20598977355734
Brian Whittle,M,24.0,190.0,77.0,Great Britain,1988,,21.329639889196677
Frigyes (Friedrich) Wiesner-Mezei,M,24.0,,,Hungary,1912,,
"Erik Wilhelm ""Erkka"" Wiln",M,21.0,180.0,73.0,Finland,1920,,22.530864197530864
"Erik Wilhelm ""Erkka"" Wiln",M,25.0,180.0,73.0,Finland,1924,,22.530864197530864
"Archibald Franklin ""Archie"" Williams",M,21.0,183.0,80.0,United States,1936,Gold,23.8884409806205
Conrad Williams,M,30.0,182.0,75.0,Great Britain,2012,,22.642192971863302
Michael Williams,M,17.0,,,Saint Vincent and the Grenadines,1988,,
Siraj Williams,M,24.0,178.0,,Liberia,2008,,
Ulis C. Williams,M,22.0,185.0,75.0,United States,1964,,21.91380569758948
"Alexander Sheldon ""Alex"" Wilson",M,20.0,178.0,66.0,Canada,1928,,20.830703194041156
"Alexander Sheldon ""Alex"" Wilson",M,24.0,178.0,66.0,Canada,1932,Bronze,20.830703194041156
Eric Colquhoun Wilson,M,23.0,183.0,73.0,United States,1924,,21.798202394816208
Wickramesinghe Wimaladasa,M,28.0,177.0,62.0,Sri Lanka,1972,,19.78997095342973
Martin John Winbolt-Lewis,M,21.0,185.0,73.0,Great Britain,1968,,21.32943754565376
Arthur Stanley Wint,M,28.0,194.0,77.0,Jamaica,1948,Gold,20.45913487086832
Arthur Stanley Wint,M,32.0,194.0,77.0,Jamaica,1952,,20.45913487086832
Johan Lukas Wissman,M,25.0,167.0,75.0,Sweden,2008,,26.89232313815483
Lars-Erik Ragnar Wolfbrandt,M,23.0,178.0,70.0,Sweden,1952,,22.093170054286077
Hedges Eyre Worthington-Eyre,M,20.0,,,Great Britain,1920,,
John Derek Wrighton,M,27.0,189.0,80.0,Great Britain,1960,,22.395789591556788
Sean Wroe,M,23.0,185.0,75.0,Australia,2008,,21.91380569758948
Desai Wynter,M,22.0,181.0,79.0,United States Virgin Islands,1988,,24.114038033027075
Desai Wynter,M,26.0,181.0,79.0,United States Virgin Islands,1992,,24.114038033027075
Mohammad Anas Yahiya,M,21.0,177.0,69.0,India,2016,,22.024322512687924
Yuki Yamaguchi,M,20.0,174.0,63.0,Japan,2004,,20.808561236623067
Takahiko Yamamura,M,21.0,176.0,68.0,Japan,2000,,21.952479338842974
Harold Malcolm Yardley,M,19.0,170.0,65.0,Great Britain,1960,,22.491349480968857
Samuela Yavala,M,25.0,173.0,69.0,Fiji,1972,,23.054562464499316
"John Lloyd ""Jack"" Yerman",M,21.0,183.0,81.0,United States,1960,,24.18704649287826
Benjamin Youla,M,24.0,,,Congo (Brazzaville),2000,,
Donnell Brooks Young,M,24.0,183.0,71.0,United States,1912,,21.200991370300695
Earl Verdelle Young,M,19.0,190.0,79.0,United States,1960,,21.883656509695292
George William Young,M,,,,Great Britain,1908,,
Rabah Yousif,M,25.0,184.0,71.0,Sudan,2012,,20.97117202268431
Aouf Abdul Rahman Youssef,M,27.0,,,Iraq,1988,,
Yun Nam-Han,M,19.0,180.0,74.0,South Korea,1988,,22.839506172839506
Sergey Aleksandrovich Zaykov,M,24.0,190.0,76.0,Kazakhstan,2012,,21.05263157894737
Aurang Zeb,M,29.0,,,Pakistan,1952,,
Michael Zerbes,M,24.0,195.0,81.0,East Germany,1968,,21.301775147928993
Paul Gustav Zerling,M,22.0,,,Sweden,1912,,
Zoltn Zsitva (Zawrzel-),M,30.0,,,Hungary,1936,,
Feliks Grzegorz uber,M,22.0,167.0,60.0,Poland,1928,,21.513858510523864
Mauro Carlo Zuliani,M,20.0,175.0,62.0,Italy,1980,,20.244897959183675
Lloyd Zvasiya,M,23.0,190.0,80.0,Zimbabwe,2004,,22.1606648199446
